test,avg time
uf50-218 1,0.0
uf50-218 2,0.001
uf50-218 3,0.0
uf50-218 4,0.001
uf50-218 5,0.001
uf50-218 6,0.001
uf50-218 7,0.0
uf50-218 8,0.0
uf50-218 9,0.001
uf50-218 10,0.0
uf75-325 1,0.0
uf75-325 2,0.005
uf75-325 3,0.009
uf75-325 4,0.005
uf75-325 5,0.0065
uf75-325 6,0.0065
uf75-325 7,0.006
uf75-325 8,0.0025
uf75-325 9,0.0075
uf75-325 10,0.004
uf100-430 1,0.0255
uf100-430 2,0.006
uf100-430 3,0.004
uf100-430 4,0.024
uf100-430 5,0.055
uf100-430 6,0.0065
uf100-430 7,0.024
uf100-430 8,0.0175
uf100-430 9,0.0155
uf100-430 10,0.0325
uf125-538 1,0.227
uf125-538 2,0.3185
uf125-538 3,0.035
uf125-538 4,0.052
uf125-538 5,0.151
uf125-538 6,0.1895
uf125-538 7,0.2795
uf125-538 8,0.0475
uf125-538 9,0.021
uf125-538 10,0.015
uf150-645 1,0.255
uf150-645 2,1.383
uf150-645 3,3.0825
uf150-645 4,3.8805
uf150-645 5,0.8145
uf150-645 6,0.5395
uf150-645 7,0.206
uf150-645 8,0.138
uf150-645 9,0.965
uf150-645 10,1.383
uuf50-218 1,0.0
uuf50-218 2,0.001
uuf50-218 3,0.001
uuf50-218 4,0.0
uuf50-218 5,0.0005
uuf50-218 6,0.001
uuf50-218 7,0.0015
uuf50-218 8,0.0
uuf50-218 9,0.001
uuf50-218 10,0.001
uuf75-325 1,0.0085
uuf75-325 2,0.0115
uuf75-325 3,0.011
uuf75-325 4,0.003
uuf75-325 5,0.01
uuf75-325 6,0.0055
uuf75-325 7,0.0055
uuf75-325 8,0.009
uuf75-325 9,0.003
uuf75-325 10,0.008
uuf100-430 1,0.0385
uuf100-430 2,0.049
uuf100-430 3,0.0885
uuf100-430 4,0.0535
uuf100-430 5,0.0445
uuf100-430 6,0.013
uuf100-430 7,0.0305
uuf100-430 8,0.049
uuf100-430 9,0.0645
uuf100-430 10,0.034
uuf125-538 1,0.1215
uuf125-538 2,0.538
uuf125-538 3,0.3885
uuf125-538 4,0.2235
uuf125-538 5,0.9255
uuf125-538 6,0.7895
uuf125-538 7,0.5315
uuf125-538 8,0.2255
uuf125-538 9,0.225
uuf125-538 10,0.386
uuf150-645 1,2.5865
uuf150-645 2,1.911
uuf150-645 3,0.8185
uuf150-645 4,1.4055
uuf150-645 5,2.1575
uuf150-645 6,3.6665
uuf150-645 7,3.9935
uuf150-645 8,0.6245
uuf150-645 9,1.124
uuf150-645 10,0.9445
