test,avg time
uf50-218 1,0.0
uf50-218 2,0.001
uf50-218 3,0.0
uf50-218 4,0.001
uf50-218 5,0.001
uf50-218 6,0.001
uf50-218 7,0.0005
uf50-218 8,0.0
uf50-218 9,0.001
uf50-218 10,0.0
uf75-325 1,0.0005
uf75-325 2,0.0045
uf75-325 3,0.0075
uf75-325 4,0.0055
uf75-325 5,0.0055
uf75-325 6,0.0055
uf75-325 7,0.0065
uf75-325 8,0.003
uf75-325 9,0.006
uf75-325 10,0.0055
uf100-430 1,0.016
uf100-430 2,0.026
uf100-430 3,0.0265
uf100-430 4,0.046
uf100-430 5,0.056
uf100-430 6,0.0075
uf100-430 7,0.0185
uf100-430 8,0.0305
uf100-430 9,0.0215
uf100-430 10,0.0415
uf125-538 1,0.371
uf125-538 2,0.23
uf125-538 3,0.1145
uf125-538 4,0.5295
uf125-538 5,0.042
uf125-538 6,0.21
uf125-538 7,0.0505
uf125-538 8,0.013
uf125-538 9,0.045
uf125-538 10,0.132
uf150-645 1,0.388
uf150-645 2,0.211
uf150-645 3,0.7175
uf150-645 4,0.0465
uf150-645 5,0.0395
uf150-645 6,0.023
uf150-645 7,0.045
uf150-645 8,0.013
uf150-645 9,0.836
uf150-645 10,0.8235
uuf50-218 1,0.0
uuf50-218 2,0.001
uuf50-218 3,0.001
uuf50-218 4,0.0
uuf50-218 5,0.001
uuf50-218 6,0.001
uuf50-218 7,0.001
uuf50-218 8,0.0
uuf50-218 9,0.001
uuf50-218 10,0.001
uuf75-325 1,0.009
uuf75-325 2,0.012
uuf75-325 3,0.0105
uuf75-325 4,0.003
uuf75-325 5,0.01
uuf75-325 6,0.0055
uuf75-325 7,0.004
uuf75-325 8,0.0095
uuf75-325 9,0.0035
uuf75-325 10,0.0085
uuf100-430 1,0.0555
uuf100-430 2,0.0345
uuf100-430 3,0.0955
uuf100-430 4,0.0535
uuf100-430 5,0.031
uuf100-430 6,0.0155
uuf100-430 7,0.0375
uuf100-430 8,0.054
uuf100-430 9,0.0705
uuf100-430 10,0.036
uuf125-538 1,0.1215
uuf125-538 2,0.5735
uuf125-538 3,0.424
uuf125-538 4,0.203
uuf125-538 5,1.012
uuf125-538 6,0.864
uuf125-538 7,0.5335
uuf125-538 8,0.2335
uuf125-538 9,0.2555
uuf125-538 10,0.301
uuf150-645 1,2.8465
uuf150-645 2,2.368
uuf150-645 3,0.9145
uuf150-645 4,1.214
uuf150-645 5,2.101
uuf150-645 6,3.705
uuf150-645 7,4.34
uuf150-645 8,0.664
uuf150-645 9,1.103
uuf150-645 10,0.9495
