test,avg time
uf50-218 1,0.0
uf50-218 2,0.001
uf50-218 3,0.0
uf50-218 4,0.001
uf50-218 5,0.001
uf50-218 6,0.0015
uf50-218 7,0.0
uf50-218 8,0.0
uf50-218 9,0.001
uf50-218 10,0.0
uf75-325 1,0.001
uf75-325 2,0.005
uf75-325 3,0.0025
uf75-325 4,0.005
uf75-325 5,0.0055
uf75-325 6,0.003
uf75-325 7,0.0045
uf75-325 8,0.004
uf75-325 9,0.003
uf75-325 10,0.0075
uf100-430 1,0.0125
uf100-430 2,0.028
uf100-430 3,0.0065
uf100-430 4,0.0095
uf100-430 5,0.055
uf100-430 6,0.0025
uf100-430 7,0.0355
uf100-430 8,0.0495
uf100-430 9,0.0315
uf100-430 10,0.037
uf125-538 1,0.543
uf125-538 2,0.24
uf125-538 3,0.959
uf125-538 4,0.5905
uf125-538 5,0.0465
uf125-538 6,0.3605
uf125-538 7,0.122
uf125-538 8,0.0135
uf125-538 9,0.052
uf125-538 10,0.0445
uf150-645 1,0.5075
uf150-645 2,0.17
uf150-645 3,0.767
uf150-645 4,0.0385
uf150-645 5,0.0365
uf150-645 6,0.027
uf150-645 7,0.0275
uf150-645 8,0.186
uf150-645 9,0.9215
uf150-645 10,0.1745
uuf50-218 1,0.0
uuf50-218 2,0.001
uuf50-218 3,0.001
uuf50-218 4,0.0
uuf50-218 5,0.001
uuf50-218 6,0.001
uuf50-218 7,0.0015
uuf50-218 8,0.0
uuf50-218 9,0.001
uuf50-218 10,0.001
uuf75-325 1,0.009
uuf75-325 2,0.0145
uuf75-325 3,0.0125
uuf75-325 4,0.0035
uuf75-325 5,0.009
uuf75-325 6,0.005
uuf75-325 7,0.004
uuf75-325 8,0.0115
uuf75-325 9,0.004
uuf75-325 10,0.01
uuf100-430 1,0.0665
uuf100-430 2,0.039
uuf100-430 3,0.0825
uuf100-430 4,0.0585
uuf100-430 5,0.0345
uuf100-430 6,0.0125
uuf100-430 7,0.051
uuf100-430 8,0.048
uuf100-430 9,0.0875
uuf100-430 10,0.0375
uuf125-538 1,0.1885
uuf125-538 2,0.6205
uuf125-538 3,0.412
uuf125-538 4,0.22
uuf125-538 5,1.149
uuf125-538 6,0.897
uuf125-538 7,0.5825
uuf125-538 8,0.2585
uuf125-538 9,0.269
uuf125-538 10,0.4105
uuf150-645 1,3.8455
uuf150-645 2,2.1205
uuf150-645 3,0.982
uuf150-645 4,1.2445
uuf150-645 5,2.347
uuf150-645 6,4.3725
uuf150-645 7,4.5035
uuf150-645 8,0.736
uuf150-645 9,1.1715
uuf150-645 10,0.9875
