test,avg time
uf50-218 1,0.0
uf50-218 2,0.0005
uf50-218 3,0.0
uf50-218 4,0.002
uf50-218 5,0.0
uf50-218 6,0.0005
uf50-218 7,0.0005
uf50-218 8,0.0
uf50-218 9,0.001
uf50-218 10,0.0
uf75-325 1,0.0
uf75-325 2,0.006
uf75-325 3,0.0125
uf75-325 4,0.0025
uf75-325 5,0.0075
uf75-325 6,0.001
uf75-325 7,0.007
uf75-325 8,0.0105
uf75-325 9,0.006
uf75-325 10,0.011
uf100-430 1,0.1025
uf100-430 2,0.0385
uf100-430 3,0.0095
uf100-430 4,0.011
uf100-430 5,0.074
uf100-430 6,0.0
uf100-430 7,0.0205
uf100-430 8,0.01
uf100-430 9,0.05
uf100-430 10,0.042
uf125-538 1,0.844
uf125-538 2,0.47
uf125-538 3,1.138
uf125-538 4,0.8765
uf125-538 5,0.0835
uf125-538 6,0.4125
uf125-538 7,0.1995
uf125-538 8,0.0265
uf125-538 9,0.0615
uf125-538 10,0.1455
uf150-645 1,1.983
uf150-645 2,0.065
uf150-645 3,1.2605
uf150-645 4,0.072
uf150-645 5,0.04
uf150-645 6,0.0175
uf150-645 7,0.0935
uf150-645 8,0.0035
uf150-645 9,1.968
uf150-645 10,0.3035
uuf50-218 1,0.001
uuf50-218 2,0.002
uuf50-218 3,0.001
uuf50-218 4,0.0
uuf50-218 5,0.001
uuf50-218 6,0.001
uuf50-218 7,0.002
uuf50-218 8,0.0
uuf50-218 9,0.003
uuf50-218 10,0.001
uuf75-325 1,0.013
uuf75-325 2,0.0195
uuf75-325 3,0.012
uuf75-325 4,0.006
uuf75-325 5,0.012
uuf75-325 6,0.007
uuf75-325 7,0.005
uuf75-325 8,0.0155
uuf75-325 9,0.005
uuf75-325 10,0.017
uuf100-430 1,0.129
uuf100-430 2,0.0795
uuf100-430 3,0.1495
uuf100-430 4,0.092
uuf100-430 5,0.053
uuf100-430 6,0.036
uuf100-430 7,0.0705
uuf100-430 8,0.0835
uuf100-430 9,0.1275
uuf100-430 10,0.0585
uuf125-538 1,0.23
uuf125-538 2,1.0285
uuf125-538 3,0.7805
uuf125-538 4,0.3585
uuf125-538 5,1.948
uuf125-538 6,1.5615
uuf125-538 7,0.9615
uuf125-538 8,0.4535
uuf125-538 9,0.459
uuf125-538 10,0.775
uuf150-645 1,4.6615
uuf150-645 2,3.669
uuf150-645 3,1.701
uuf150-645 4,2.54
uuf150-645 5,3.9915
uuf150-645 6,7.464
uuf150-645 7,7.66
uuf150-645 8,1.23
uuf150-645 9,1.994
uuf150-645 10,1.725
