test,avg time
uf50-218,0.00045000000000000004
uf75-325,0.0064
uf100-430,0.0358
uf125-538,0.42575
uf150-645,0.58065
uuf50-218,0.0012000000000000001
uuf75-325,0.011200000000000002
uuf100-430,0.0879
uuf125-538,0.8555999999999999
uuf150-645,3.6636
