test,avg time
uf50-218 1,0.0
uf50-218 2,0.001
uf50-218 3,0.0
uf50-218 4,0.001
uf50-218 5,0.001
uf50-218 6,0.001
uf50-218 7,0.0005
uf50-218 8,0.0
uf50-218 9,0.001
uf50-218 10,0.0
uf75-325 1,0.002
uf75-325 2,0.0055
uf75-325 3,0.005
uf75-325 4,0.0045
uf75-325 5,0.0055
uf75-325 6,0.0035
uf75-325 7,0.0065
uf75-325 8,0.0035
uf75-325 9,0.0045
uf75-325 10,0.004
uf100-430 1,0.027
uf100-430 2,0.002
uf100-430 3,0.0075
uf100-430 4,0.0525
uf100-430 5,0.0635
uf100-430 6,0.005
uf100-430 7,0.0105
uf100-430 8,0.01
uf100-430 9,0.0115
uf100-430 10,0.0285
uf125-538 1,0.1455
uf125-538 2,0.3245
uf125-538 3,0.053
uf125-538 4,0.055
uf125-538 5,0.146
uf125-538 6,0.191
uf125-538 7,0.2915
uf125-538 8,0.0305
uf125-538 9,0.0165
uf125-538 10,0.0595
uf150-645 1,0.304
uf150-645 2,1.2735
uf150-645 3,3.2485
uf150-645 4,4.0875
uf150-645 5,1.1775
uf150-645 6,0.546
uf150-645 7,0.193
uf150-645 8,0.011
uf150-645 9,0.5115
uf150-645 10,0.853
uuf50-218 1,0.0
uuf50-218 2,0.001
uuf50-218 3,0.001
uuf50-218 4,0.0
uuf50-218 5,0.001
uuf50-218 6,0.001
uuf50-218 7,0.001
uuf50-218 8,0.0
uuf50-218 9,0.0015
uuf50-218 10,0.001
uuf75-325 1,0.009
uuf75-325 2,0.0135
uuf75-325 3,0.0125
uuf75-325 4,0.004
uuf75-325 5,0.0095
uuf75-325 6,0.006
uuf75-325 7,0.004
uuf75-325 8,0.009
uuf75-325 9,0.004
uuf75-325 10,0.008
uuf100-430 1,0.0615
uuf100-430 2,0.0185
uuf100-430 3,0.0885
uuf100-430 4,0.048
uuf100-430 5,0.0325
uuf100-430 6,0.015
uuf100-430 7,0.0415
uuf100-430 8,0.048
uuf100-430 9,0.0615
uuf100-430 10,0.0385
uuf125-538 1,0.1195
uuf125-538 2,0.5795
uuf125-538 3,0.393
uuf125-538 4,0.1895
uuf125-538 5,1.0435
uuf125-538 6,0.8505
uuf125-538 7,0.5495
uuf125-538 8,0.241
uuf125-538 9,0.242
uuf125-538 10,0.501
uuf150-645 1,2.652
uuf150-645 2,2.025
uuf150-645 3,0.9055
uuf150-645 4,1.192
uuf150-645 5,2.1675
uuf150-645 6,4.126
uuf150-645 7,4.4525
uuf150-645 8,0.674
uuf150-645 9,1.206
uuf150-645 10,1.0255
